iter	Passed	Remaining
0	2200	3298591
1	4514	3381132
2	6681	3334123
3	8907	3331507
4	11079	3312723
5	13265	3303167
6	13269	2830289
7	15516	2893850
8	15920	2637553
9	15946	2376068
10	15952	2159402
11	18162	2252101
12	18178	2079352
13	18203	1932207
14	20420	2021625
15	20435	1895387
16	22659	1976683
17	24909	2050870
18	24917	1942255
19	24940	1845568
20	27169	1913521
21	27203	1827606
22	29463	1892049
23	29477	1812875
24	32093	1893508
25	34616	1962468
26	35779	1951975
27	38544	2026331
28	41268	2093302
29	43436	2128370
30	43462	2059554
31	43470	1994226
